initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,504,2022-01-01,2023-05-20,8.327857698135611,6.177024119606011,-1.0,0.038237371113949634,0.011271164632283564,0.0,431,106,0
24,504,2022-01-25,2023-06-13,8.30795354605321,6.069540583868689,-1.0,0.038237371113949634,0.014187731435113725,0.0,431,102,0
48,504,2022-02-18,2023-07-07,8.295118996237175,6.060508631326293,0.0,0.038237371113949634,0.015999218034879397,2.742783353304023e-05,431,108,1
72,504,2022-03-14,2023-07-31,8.28557553275584,6.102802457479772,0.6784274158070895,0.038237371113949634,0.012810548751982592,2.7470826636963974e-05,431,108,2
96,504,2022-04-07,2023-08-24,8.25984491767325,6.0754062797298385,1.6128822998833467,0.038237371113949634,0.010424953602140038,8.50983493599615e-05,431,104,4
120,504,2022-05-01,2023-09-17,8.252260763942132,6.076907489801241,1.6128822998833467,0.038237371113949634,0.011520930408965431,8.50983493599615e-05,431,111,4
144,504,2022-05-25,2023-10-11,8.215382233121474,6.0646632359826445,1.2071633921684868,0.05857196170282897,0.005695965237763816,8.43406801122236e-05,431,106,3
168,504,2022-06-18,2023-11-04,8.23681005538613,6.116473379730896,0.0,0.036548528984923674,0.0048497883226508495,7.99724735608106e-05,431,114,1
192,504,2022-07-12,2023-11-28,8.21093059069052,6.097323486205688,0.0,0.036548528984923674,0.00508393413135904,7.99724735608106e-05,431,111,1
216,504,2022-08-05,2023-12-22,8.213880870223301,6.055732499500659,0.0,0.036548528984923674,0.006195269032168496,6.384569952107171e-07,431,110,1
240,504,2022-08-29,2024-01-15,8.247032848022965,5.850699440233391,0.0,0.036548528984923674,0.010772035811465701,6.384569952107171e-07,431,102,1
264,504,2022-09-22,2024-02-08,8.235868673573725,5.862990984532076,-1.0,0.04013197775750269,0.011031085157165279,0.0,431,99,0
288,504,2022-10-16,2024-03-03,8.264067874444766,5.94086367415564,-1.0,0.04013197775750269,0.010455056686918306,0.0,431,101,0
312,504,2022-11-09,2024-03-27,8.188478571874521,5.924706769587299,-1.0,0.07427767811292994,0.010460372388675993,0.0,431,102,0
336,504,2022-12-03,2024-04-20,8.202186349427523,5.847952471693039,-1.0,0.07427767811292994,0.008894051754895793,0.0,431,94,0
360,504,2022-12-27,2024-05-14,8.202235376818695,5.7359496240250225,-1.0,0.07427767811292994,0.00947770505824108,0.0,431,96,0
384,504,2023-01-20,2024-06-07,8.215945552594517,5.9083127525064105,-1.0,0.07427767811292994,0.008795976496991119,0.0,431,101,0
408,504,2023-02-13,2024-07-01,8.230818549234757,5.92080963543367,-1.0,0.07427767811292994,0.01007965679639148,0.0,431,104,0
432,504,2023-03-09,2024-07-25,8.241102573456669,6.048989579468098,-1.0,0.07427767811292994,0.01118887123568603,0.0,431,117,0
456,504,2023-04-02,2024-08-18,8.227219025728148,6.153775624552043,-1.0,0.07427767811292994,0.007820215263401478,0.0,431,115,0
480,504,2023-04-26,2024-09-11,8.230389480517223,6.114392069898033,0.0,0.07427767811292994,0.006941933946022051,2.8717189312805027e-06,431,114,1
504,504,2023-05-20,2024-10-05,8.233861265539165,6.099380929808709,-1.0,0.07427767811292994,0.007027654881251484,0.0,431,116,0
528,504,2023-06-13,2024-10-29,8.251708304114125,6.161021404626966,-1.0,0.07427767811292994,0.0059533542738975116,0.0,431,115,0
552,504,2023-07-07,2024-11-22,8.265424409928524,6.11610893605899,0.0,0.07427767811292994,0.008784390649153989,9.317650104789689e-06,431,117,1
576,504,2023-07-31,2024-12-16,8.254245348058333,6.015966782021342,0.0,0.07427767811292994,0.008274317704341286,9.317650104789689e-06,431,109,1
600,504,2023-08-24,2025-01-09,8.285759881314302,6.0828294133157,-1.0,0.07427767811292994,0.008558604345501982,0.0,431,113,0
624,504,2023-09-17,2025-02-02,8.30922764054244,6.161071224504963,0.0,0.07427767811292994,0.008215597950677691,6.31381926047017e-05,431,115,1
648,504,2023-10-11,2025-02-26,8.325999547320038,6.071493031096302,-1.0,0.07427767811292994,0.010430936181108942,0.0,431,111,0
672,504,2023-11-04,2025-03-22,8.324521947530767,6.156758411666662,-1.0,0.07037662684717354,0.010346369271387826,0.0,431,114,0
696,504,2023-11-28,2025-04-15,8.345107212034005,6.158666120692204,0.0,0.07037662684717354,0.01109544727166921,2.8293613107573766e-06,431,114,1
720,504,2023-12-22,2025-05-09,8.329968979836645,6.14299585256499,0.0,0.07037662684717354,0.013239081024453684,2.8293613107573766e-06,431,120,1
744,504,2024-01-15,2025-06-02,8.307938859547615,6.2824681604914145,0.0,0.10035394177365833,0.007400284232803718,2.8293613107573766e-06,431,123,1
768,504,2024-02-08,2025-06-26,8.311771877619185,6.19862689865615,-1.0,0.10035394177365833,0.011187473499256598,0.0,431,119,0
792,504,2024-03-03,2025-07-20,8.294439548560877,6.186252182506481,0.0,0.10035394177365833,0.011158556765311375,3.2892829547868985e-05,431,119,1
