initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,720,2022-01-01,2023-12-22,8.670454684951935,6.143196531538495,0.87733096427425,0.049834519491773456,0.01068120948612998,2.862216316418321e-05,551,125,2
24,720,2022-01-25,2024-01-15,8.663324605583565,6.21817071021451,0.87733096427425,0.049834519491773456,0.008267797312774034,2.862216316418321e-05,551,130,2
48,720,2022-02-18,2024-02-08,8.646436163253268,6.253997916945453,0.0,0.049834519491773456,0.007783182671437327,1.8548725733337178e-05,551,132,1
72,720,2022-03-14,2024-03-03,8.625992970822015,6.30716760762017,-1.0,0.049834519491773456,0.008139369442834903,0.0,551,133,0
96,720,2022-04-07,2024-03-27,8.615732996707395,6.329963343259737,0.0,0.049834519491773456,0.007273101436140762,6.409887350967142e-05,551,132,1
120,720,2022-05-01,2024-04-20,8.6140987055832,6.385146643399097,-1.0,0.049834519491773456,0.007278458785347451,0.0,551,135,0
144,720,2022-05-25,2024-05-14,8.635100684486,6.425522304648845,0.0,0.025679811525497913,0.005946644151184741,1.057104170914001e-05,551,135,1
168,720,2022-06-18,2024-06-07,8.617754075637036,6.368994545204717,0.0,0.03892213865310754,0.005987576650895732,1.057104170914001e-05,551,129,1
192,720,2022-07-12,2024-07-01,8.613814274361783,6.375252593884135,1.2633667122031298,0.03623357628648388,0.006699397017338242,4.5819175453796616e-05,551,131,3
216,720,2022-08-05,2024-07-25,8.603204332946325,6.359621608203584,0.0,0.03623357628648388,0.007485848890998558,1.057104170914001e-05,551,127,1
240,720,2022-08-29,2024-08-18,8.61461708633672,6.411573985476594,-1.0,0.03623357628648388,0.007971117905347245,0.0,551,131,0
264,720,2022-09-22,2024-09-11,8.58254132781331,6.4920529766261525,-1.0,0.04573560814947669,0.007546679082716662,0.0,551,134,0
288,720,2022-10-16,2024-10-05,8.57633099179249,6.4721029041250215,-1.0,0.04573560814947669,0.00796394333029929,0.0,551,140,0
312,720,2022-11-09,2024-10-29,8.568794359077492,6.426119038995208,-1.0,0.04573560814947669,0.008474391453353198,0.0,551,134,0
336,720,2022-12-03,2024-11-22,8.584490083003876,6.455277927285112,0.0,0.04573560814947669,0.00826252127051928,6.427490869796277e-07,551,141,1
360,720,2022-12-27,2024-12-16,8.585612272195558,6.439387311864635,0.0,0.04573560814947669,0.008205972459270764,6.427490869796277e-07,551,141,1
384,720,2023-01-20,2025-01-09,8.608913243070763,6.449799513587606,0.0,0.03623357628648388,0.011930721329163233,6.427490869796277e-07,551,141,1
408,720,2023-02-13,2025-02-02,8.604875716217906,6.411412946260453,0.0,0.03623357628648388,0.008422879445739658,6.427490869796277e-07,551,134,1
432,720,2023-03-09,2025-02-26,8.594637792267777,6.4354090369481955,0.6864274406584757,0.03623357628648388,0.007054896368315216,4.783958955463033e-05,551,136,2
456,720,2023-04-02,2025-03-22,8.59786983283459,6.4153046904885285,1.142533100299916,0.03623357628648388,0.008378099521174446,4.8645360989373735e-05,551,140,3
480,720,2023-04-26,2025-04-15,8.611929136254195,6.364937406508758,0.0,0.03623357628648388,0.008725039964253981,4.948838316291607e-05,551,139,1
504,720,2023-05-20,2025-05-09,8.627164856472342,6.473675890512919,0.0,0.03623357628648388,0.008284399778157184,4.948838316291607e-05,551,147,1
528,720,2023-06-13,2025-06-02,8.635750643473665,6.566058262775511,0.0,0.03623357628648388,0.008626463108270688,4.948838316291607e-05,551,157,1
552,720,2023-07-07,2025-06-26,8.631924500692326,6.576091167766712,-1.0,0.03623357628648388,0.009145713311503122,0.0,551,158,0
576,720,2023-07-31,2025-07-20,8.630448128909212,6.5513185096755375,0.0,0.036918585343944675,0.010112497874543332,1.5197692392019193e-05,551,166,1
