initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,504,2022-01-01,2023-05-20,8.009201755610421,5.480918209548073,0.8092138728538952,0.049834519491773456,0.007707069844311723,4.491601631204702e-06,335,78,2
24,504,2022-01-25,2023-06-13,7.9883295513776735,5.570431547111444,0.08697961427253777,0.0572578069918582,0.007424366099274763,3.0263000881668427e-06,335,80,2
48,504,2022-02-18,2023-07-07,7.9631286004673,5.674507436918347,0.0,0.0572578069918582,0.007237168950670946,4.359063287476921e-09,335,86,1
72,504,2022-03-14,2023-07-31,7.983690057614102,5.662965435868118,0.0,0.049834519491773456,0.00755471776026563,4.359063287476921e-09,335,79,1
96,504,2022-04-07,2023-08-24,7.963439858009231,5.602603671834268,0.011596525485695173,0.049834519491773456,0.006657560167135857,0.0001332656870074565,335,77,2
120,504,2022-05-01,2023-09-17,7.968679237440077,5.713235860042013,-1.0,0.049834519491773456,0.006168352761922593,0.0,335,82,0
144,504,2022-05-25,2023-10-11,7.975016318519054,5.8396843452889815,-1.0,0.025679811525497913,0.005350767153670965,0.0,335,87,0
168,504,2022-06-18,2023-11-04,7.964981874206211,5.81649143735553,-1.0,0.0321354533040446,0.005192048221118991,0.0,335,85,0
192,504,2022-07-12,2023-11-28,7.932112381736066,5.826987020117813,-1.0,0.0321354533040446,0.004669744095483028,0.0,335,78,0
216,504,2022-08-05,2023-12-22,7.93666328771645,5.8376672936143015,-1.0,0.0321354533040446,0.0053673434541273695,0.0,335,79,0
240,504,2022-08-29,2024-01-15,7.905578428615921,5.802875929055493,0.0,0.03892213865310754,0.005221380315926023,1.3381174287723273e-08,335,80,1
264,504,2022-09-22,2024-02-08,7.885346987519668,5.653017580518936,-1.0,0.03892213865310754,0.005013098866017267,0.0,335,73,0
288,504,2022-10-16,2024-03-03,7.832855993823345,5.485993054278055,-1.0,0.0400806150913265,0.004886674623417167,0.0,335,69,0
312,504,2022-11-09,2024-03-27,7.863338219967059,5.6002278638291,0.0,0.03892213865310754,0.004900501686140215,1.3704514795559235e-05,335,72,1
336,504,2022-12-03,2024-04-20,7.885669463993825,5.626619391489499,-1.0,0.03892213865310754,0.00544136723576946,0.0,335,71,0
360,504,2022-12-27,2024-05-14,7.893523011962931,5.745417623800548,0.0,0.03892213865310754,0.004448415911520927,2.3771587068876768e-06,335,76,1
384,504,2023-01-20,2024-06-07,7.894533081982333,5.675755964258482,-1.0,0.03892213865310754,0.004257004212412319,0.0,335,76,0
408,504,2023-02-13,2024-07-01,7.872299553045383,5.703771351865048,-1.0,0.039181417399623754,0.007995194350618101,0.0,335,82,0
432,504,2023-03-09,2024-07-25,7.878652444984223,5.681525914272999,0.0,0.03623357628648388,0.008143660017288187,3.538151431681909e-05,335,80,1
456,504,2023-04-02,2024-08-18,7.898917815719603,5.7435455226130445,-1.0,0.03623357628648388,0.00732533400052481,0.0,335,86,0
480,504,2023-04-26,2024-09-11,7.864903158234565,5.54367021331634,-1.0,0.04573560814947669,0.01090821559007265,0.0,335,75,0
504,504,2023-05-20,2024-10-05,7.879704891784973,5.498834546550963,-1.0,0.04573560814947669,0.011337718087864782,0.0,335,75,0
528,504,2023-06-13,2024-10-29,7.892769036785102,5.56917500743279,-1.0,0.04573560814947669,0.0100761469746896,0.0,335,80,0
552,504,2023-07-07,2024-11-22,7.907408107399387,5.59087672076766,-1.0,0.04573560814947669,0.009249881640583536,0.0,335,79,0
576,504,2023-07-31,2024-12-16,7.914771226760855,5.742127463762072,-1.0,0.0469290464031015,0.006645719147915814,0.0,335,84,0
600,504,2023-08-24,2025-01-09,7.965907952956393,5.8056269086800905,0.0,0.036918585343944675,0.006117594559500013,7.777388362108286e-06,335,84,1
624,504,2023-09-17,2025-02-02,7.979434757631627,5.772197081351392,-1.0,0.036918585343944675,0.006160759347881142,0.0,335,82,0
648,504,2023-10-11,2025-02-26,7.979857782523313,5.832653109683547,-1.0,0.036918585343944675,0.005377039732516141,0.0,335,86,0
672,504,2023-11-04,2025-03-22,7.9670627632928275,5.953045847416808,0.0,0.0668759522433777,0.006506360181162853,1.5754201957231434e-05,335,91,1
696,504,2023-11-28,2025-04-15,7.96667280340947,5.851886892301714,0.675176569844332,0.0668759522433777,0.006964988781751752,0.0001573611064657032,335,94,2
720,504,2023-12-22,2025-05-09,7.957730091191559,5.862317112017145,0.675176569844332,0.0668759522433777,0.007235513852858893,0.0001573611064657032,335,89,2
744,504,2024-01-15,2025-06-02,7.982646465154748,5.6994595579809175,0.675176569844332,0.0668759522433777,0.0077226569242844715,0.0001573611064657032,335,80,2
768,504,2024-02-08,2025-06-26,7.936525907748463,5.745479325635389,0.675176569844332,0.1155482769920016,0.009066735162599522,0.0001573611064657032,335,85,2
792,504,2024-03-03,2025-07-20,7.934657183854638,5.721785137648658,-1.0,0.1155482769920016,0.009867391719303564,0.0,335,86,0
