initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,336,2022-01-01,2022-12-03,7.087985970428138,4.441092506130613,0.0,0.049834519491773456,0.017284710893862458,0.00010723579588687168,167,39,1
24,336,2022-01-25,2022-12-27,7.018899090856352,4.391052505099965,-1.0,0.0824183251803979,0.015216757300747667,0.0,167,36,0
48,336,2022-02-18,2023-01-20,6.9927931063149344,4.620099558921215,-1.0,0.0824183251803979,0.007922815004487844,0.0,167,36,0
72,336,2022-03-14,2023-02-13,7.011620476317353,4.8159443973713385,-1.0,0.0855283051308976,0.008500571650860173,0.0,167,40,0
96,336,2022-04-07,2023-03-09,6.9738178186690805,4.834240200145307,0.0,0.08325110960355563,0.008149849215979785,0.00013380944939559952,167,41,1
120,336,2022-05-01,2023-04-02,7.050158147768519,4.908784535957469,-1.0,0.0572578069918582,0.00891610001832359,0.0,167,39,0
144,336,2022-05-25,2023-04-26,7.017351813708101,4.627015805106334,0.0,0.0572578069918582,0.007650637596593998,2.059118420051919e-05,167,36,1
168,336,2022-06-18,2023-05-20,7.03970902732468,4.582073412385035,-1.0,0.04380261671270154,0.007944154918743692,0.0,167,37,0
192,336,2022-07-12,2023-06-13,7.023013107387155,4.639289389763308,-1.0,0.058278245434234786,0.0077840459333037276,0.0,167,37,0
216,336,2022-08-05,2023-07-07,6.993970041959935,4.852633765130602,-1.0,0.058278245434234786,0.006386374326432445,0.0,167,40,0
240,336,2022-08-29,2023-07-31,6.977253944829834,4.634185078477164,-1.0,0.0653553753417453,0.007401567209828576,0.0,167,36,0
264,336,2022-09-22,2023-08-24,6.942347801822725,4.3141661369277156,-1.0,0.0653553753417453,0.00878879503213204,0.0,167,37,0
288,336,2022-10-16,2023-09-17,6.91483939577227,4.298291279168739,0.0,0.04798586160959138,0.006790680552915235,2.335459893636522e-05,167,36,1
312,336,2022-11-09,2023-10-11,6.854375441857512,4.584964759992075,0.0,0.04798586160959138,0.006888570372579862,2.335459893636522e-05,167,43,1
336,336,2022-12-03,2023-11-04,6.864048505676443,4.630666604346298,-1.0,0.04798586160959138,0.0067324040508645955,0.0,167,42,0
360,336,2022-12-27,2023-11-28,6.879875487793834,4.450993505582987,-1.0,0.050921222242212225,0.005983669162173406,0.0,167,37,0
384,336,2023-01-20,2023-12-22,6.872905381409147,4.300079224820714,-1.0,0.0591784976683546,0.008961206063933141,0.0,167,32,0
408,336,2023-02-13,2024-01-15,6.852904765003556,4.376743381213211,-1.0,0.07707289297199416,0.007800191583705815,0.0,167,33,0
432,336,2023-03-09,2024-02-08,6.836148664835405,4.395219601715434,-1.0,0.07707289297199416,0.004763751437645915,0.0,167,30,0
456,336,2023-04-02,2024-03-03,6.776851160751755,4.5085870462721465,-1.0,0.07707289297199416,0.005724979513919883,0.0,167,36,0
480,336,2023-04-26,2024-03-27,6.846755420151844,4.652986563098802,-1.0,0.05034991206719518,0.005017534354392574,0.0,167,36,0
504,336,2023-05-20,2024-04-20,6.865593766706353,4.7018841397544335,-1.0,0.05034991206719518,0.0042881878578172345,0.0,167,35,0
528,336,2023-06-13,2024-05-14,6.851420620865754,4.512232051419007,-1.0,0.08067095582505958,0.006389590926052028,0.0,167,36,0
552,336,2023-07-07,2024-06-07,6.8993410457612265,4.594052052572568,-1.0,0.06674250072192915,0.007112453788933954,0.0,167,35,0
576,336,2023-07-31,2024-07-01,6.93343766724623,4.541757402155627,-1.0,0.04060195125015384,0.007611732072453287,0.0,167,35,0
600,336,2023-08-24,2024-07-25,6.953209175727961,4.565320658614283,-1.0,0.04060195125015384,0.008610972510186771,0.0,167,34,0
624,336,2023-09-17,2024-08-18,7.026160624726158,4.6882651382646126,-1.0,0.04060195125015384,0.008574675458214678,0.0,167,38,0
648,336,2023-10-11,2024-09-11,6.989665777193479,4.449096315244631,-1.0,0.0469290464031015,0.009109505547532674,0.0,167,36,0
672,336,2023-11-04,2024-10-05,6.992890321033478,4.4616348484583845,0.0,0.0469290464031015,0.0074132917310118125,2.8574378821015922e-06,167,33,1
696,336,2023-11-28,2024-10-29,6.9647304476222045,4.4088800074897625,-1.0,0.05192670620493744,0.006346622934438294,0.0,167,32,0
720,336,2023-12-22,2024-11-22,6.963727199840184,4.3935052657484475,-1.0,0.052486833233867575,0.009722365831043673,0.0,167,35,0
744,336,2024-01-15,2024-12-16,6.986184196977792,4.814085819590556,-1.0,0.06682735939252515,0.005246870738143563,0.0,167,42,0
768,336,2024-02-08,2025-01-09,7.058242553692383,4.848771710429521,-1.0,0.03582059900026933,0.00619934606574685,0.0,167,41,0
792,336,2024-03-03,2025-02-02,7.01092888682762,4.786358700495364,-1.0,0.08066433311671847,0.007296473824753802,0.0,167,42,0
816,336,2024-03-27,2025-02-26,7.041628312503114,4.84609078630753,-1.0,0.03729526408962048,0.007178907079972388,0.0,167,45,0
840,336,2024-04-20,2025-03-22,6.991141146519972,4.791347318456248,0.0,0.11964434967379081,0.006456272079654879,1.5754201957231434e-05,167,43,1
864,336,2024-05-14,2025-04-15,7.024739899854793,4.81874886975372,0.0,0.1155482769920016,0.005247410214752049,1.5754201957231434e-05,167,38,1
888,336,2024-06-07,2025-05-09,7.0138924242416785,4.442511636215409,0.9704070465083962,0.1155482769920016,0.006594921823864079,2.77871677211091e-05,167,34,2
912,336,2024-07-01,2025-06-02,7.027841797491198,4.550816723675773,0.0,0.1155482769920016,0.007990731986478304,3.73978743562855e-05,167,40,1
936,336,2024-07-25,2025-06-26,6.951832789297323,4.6133562412613776,0.0,0.1155482769920016,0.00901213145542402,2.0861164484138003e-06,167,38,1
960,336,2024-08-18,2025-07-20,6.9584784892417995,4.469033482714943,-1.0,0.1155482769920016,0.008717176120678525,0.0,167,37,0
