initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,72,2021-12-31 01:00:00,2022-01-03 01:00:00,0.0,-1.0,-1.0,0.13478895217417702,0.0,0.0,1,0,0
24,72,2022-01-01 01:00:00,2022-01-04 01:00:00,0.0,-1.0,-1.0,0.20657002352816964,0.0,0.0,1,0,0
48,72,2022-01-02 01:00:00,2022-01-05 01:00:00,0.0,-1.0,-1.0,0.33627124972274347,0.0,0.0,1,0,0
72,72,2022-01-03 01:00:00,2022-01-06 01:00:00,0.0,-1.0,-1.0,0.16367810473069913,0.0,0.0,1,0,0
96,72,2022-01-04 01:00:00,2022-01-07 01:00:00,0.0,-1.0,-1.0,0.18893384923814507,0.0,0.0,1,0,0
120,72,2022-01-05 01:00:00,2022-01-08 01:00:00,0.0,-1.0,-1.0,0.35268053359421847,0.0,0.0,1,0,0
144,72,2022-01-06 01:00:00,2022-01-09 01:00:00,0.0,-1.0,-1.0,0.5258899230069306,0.0,0.0,1,0,0
168,72,2022-01-07 01:00:00,2022-01-10 01:00:00,0.0,-1.0,-1.0,0.1577650167055257,0.0,0.0,1,0,0
192,72,2022-01-08 01:00:00,2022-01-11 01:00:00,0.0,-1.0,-1.0,0.1534052351752355,0.0,0.0,1,0,0
216,72,2022-01-09 01:00:00,2022-01-12 01:00:00,0.0,-1.0,-1.0,0.3137147349653383,0.0,0.0,1,0,0
240,72,2022-01-10 01:00:00,2022-01-13 01:00:00,0.0,-1.0,-1.0,0.04895068482222553,0.0,0.0,1,0,0
264,72,2022-01-11 01:00:00,2022-01-14 01:00:00,0.0,-1.0,-1.0,0.06273945597056971,0.0,0.0,1,0,0
288,72,2022-01-12 01:00:00,2022-01-15 01:00:00,0.0,-1.0,-1.0,0.48032609788297465,0.0,0.0,1,0,0
312,72,2022-01-13 01:00:00,2022-01-16 01:00:00,0.0,-1.0,-1.0,0.08044303651858549,0.0,0.0,1,0,0
336,72,2022-01-14 01:00:00,2022-01-17 01:00:00,0.0,-1.0,-1.0,0.18007485059480818,0.0,0.0,1,0,0
360,72,2022-01-15 01:00:00,2022-01-18 01:00:00,0.0,-1.0,-1.0,0.1191539260249252,0.0,0.0,1,0,0
384,72,2022-01-16 01:00:00,2022-01-19 01:00:00,0.0,-1.0,-1.0,0.5320948503636977,0.0,0.0,1,0,0
408,72,2022-01-17 01:00:00,2022-01-20 01:00:00,0.0,-1.0,-1.0,0.2550174913945337,0.0,0.0,1,0,0
432,72,2022-01-18 01:00:00,2022-01-21 01:00:00,0.0,-1.0,-1.0,0.8310576085124274,0.0,0.0,1,0,0
456,72,2022-01-19 01:00:00,2022-01-22 01:00:00,0.0,-1.0,-1.0,0.06327582785230089,0.0,0.0,1,0,0
480,72,2022-01-20 01:00:00,2022-01-23 01:00:00,0.0,-1.0,-1.0,0.3800195533116184,0.0,0.0,1,0,0
504,72,2022-01-21 01:00:00,2022-01-24 01:00:00,0.0,-1.0,-1.0,0.8482647052511015,0.0,0.0,1,0,0
528,72,2022-01-22 01:00:00,2022-01-25 01:00:00,0.0,-1.0,-1.0,0.43562490626675215,0.0,0.0,1,0,0
552,72,2022-01-23 01:00:00,2022-01-26 01:00:00,0.0,-1.0,-1.0,0.7821387277122609,0.0,0.0,1,0,0
576,72,2022-01-24 01:00:00,2022-01-27 01:00:00,0.0,-1.0,-1.0,0.26132989518986505,0.0,0.0,1,0,0
600,72,2022-01-25 01:00:00,2022-01-28 01:00:00,0.0,-1.0,-1.0,0.15927062521191193,0.0,0.0,1,0,0
624,72,2022-01-26 01:00:00,2022-01-29 01:00:00,0.0,-1.0,-1.0,0.39307638890895824,0.0,0.0,1,0,0
648,72,2022-01-27 01:00:00,2022-01-30 01:00:00,0.0,-1.0,-1.0,0.13571136790456081,0.0,0.0,1,0,0
672,72,2022-01-28 01:00:00,2022-01-31 01:00:00,0.0,-1.0,-1.0,0.2290362410958243,0.0,0.0,1,0,0
696,72,2022-01-29 01:00:00,2022-02-01 01:00:00,0.0,-1.0,-1.0,0.09882769908543465,0.0,0.0,1,0,0
720,72,2022-01-30 01:00:00,2022-02-02 01:00:00,0.0,-1.0,-1.0,0.3575454488377673,0.0,0.0,1,0,0
744,72,2022-01-31 01:00:00,2022-02-03 01:00:00,0.0,-1.0,-1.0,0.2268780770254934,0.0,0.0,1,0,0
768,72,2022-02-01 01:00:00,2022-02-04 01:00:00,0.0,-1.0,-1.0,0.2903753042856921,0.0,0.0,1,0,0
792,72,2022-02-02 01:00:00,2022-02-05 01:00:00,0.0,-1.0,-1.0,0.13202197209111038,0.0,0.0,1,0,0
816,72,2022-02-03 01:00:00,2022-02-06 01:00:00,0.0,-1.0,-1.0,0.2546705532106638,0.0,0.0,1,0,0
840,72,2022-02-04 01:00:00,2022-02-07 01:00:00,0.0,-1.0,-1.0,0.23316431436389595,0.0,0.0,1,0,0
864,72,2022-02-05 01:00:00,2022-02-08 01:00:00,0.0,-1.0,-1.0,0.3140157883198328,0.0,0.0,1,0,0
888,72,2022-02-06 01:00:00,2022-02-09 01:00:00,0.0,-1.0,-1.0,0.11454216145879587,0.0,0.0,1,0,0
912,72,2022-02-07 01:00:00,2022-02-10 01:00:00,0.0,-1.0,-1.0,0.4153022317574083,0.0,0.0,1,0,0
936,72,2022-02-08 01:00:00,2022-02-11 01:00:00,0.0,-1.0,-1.0,0.21289040675942159,0.0,0.0,1,0,0
960,72,2022-02-09 01:00:00,2022-02-12 01:00:00,0.0,-1.0,-1.0,0.29131522577901614,0.0,0.0,1,0,0
