initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,72,2021-12-31 01:00:00,2022-01-03 01:00:00,4.396908285207318,1.5420298687897576,-1.0,0.049701342464349284,0.0027596738741405688,0.0,23,3,0
24,72,2022-01-01 01:00:00,2022-01-04 01:00:00,4.211679819194338,0.0,-1.0,0.06347681318743587,0.0029127478615402296,0.0,23,1,0
48,72,2022-01-02 01:00:00,2022-01-05 01:00:00,4.268703674876439,1.589358946818866,-1.0,0.06380210192743588,0.0030765630855054344,0.0,23,4,0
72,72,2022-01-03 01:00:00,2022-01-06 01:00:00,4.186229345375967,1.0978774752477753,-1.0,0.06492995380521414,0.0023638874668396492,0.0,23,3,0
96,72,2022-01-04 01:00:00,2022-01-07 01:00:00,4.3397494597811415,2.0576568025356927,-1.0,0.07138332172832086,0.005513774918027721,0.0,23,5,0
120,72,2022-01-05 01:00:00,2022-01-08 01:00:00,4.389191984792792,0.43741750933103835,-1.0,0.09263850130090284,0.005680680100044229,0.0,23,2,0
144,72,2022-01-06 01:00:00,2022-01-09 01:00:00,4.258590461085869,0.9720790198562941,-1.0,0.15130406401819604,0.001535644488863547,0.0,23,2,0
168,72,2022-01-07 01:00:00,2022-01-10 01:00:00,4.304789085481782,1.94527486204313,-1.0,0.09310294518856928,0.003948748976915549,0.0,23,5,0
192,72,2022-01-08 01:00:00,2022-01-11 01:00:00,4.093659923566095,1.4351730598512755,-1.0,0.13961685281631095,0.0007412832628669295,0.0,23,3,0
216,72,2022-01-09 01:00:00,2022-01-12 01:00:00,4.370151772197544,1.1739879556419432,-1.0,0.03835815452857861,0.0024223671032308144,0.0,23,3,0
240,72,2022-01-10 01:00:00,2022-01-13 01:00:00,4.25489319606025,0.04646047347081087,-1.0,0.09023767546720599,0.0002672119965214522,0.0,23,2,0
264,72,2022-01-11 01:00:00,2022-01-14 01:00:00,4.366105792046777,0.0,-1.0,0.031718093198947764,0.008385562411846521,0.0,23,1,0
288,72,2022-01-12 01:00:00,2022-01-15 01:00:00,4.379339845806337,0.9557485158696055,-1.0,0.051517066909690726,0.009783309239710922,0.0,23,3,0
312,72,2022-01-13 01:00:00,2022-01-16 01:00:00,4.352885743047648,0.0,-1.0,0.04295429099987269,0.0001839623860764301,0.0,23,1,0
336,72,2022-01-14 01:00:00,2022-01-17 01:00:00,4.275812963481325,0.658807112736358,-1.0,0.04470796872527207,0.002731019252472954,0.0,23,2,0
360,72,2022-01-15 01:00:00,2022-01-18 01:00:00,4.196949781867856,1.3509722599664913,-1.0,0.056144720184477845,0.002606753054849146,0.0,23,3,0
