initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,168,2021-12-31 01:00:00,2022-01-07 01:00:00,4.462267505969548,1.6213158495970592,-1.0,0.08836992859886973,0.01525207155935089,0.0,23,4,0
24,168,2022-01-01 01:00:00,2022-01-08 01:00:00,4.416011481744335,1.773109110091006,-1.0,0.10152420748521082,0.00915544359343582,0.0,23,4,0
48,168,2022-01-02 01:00:00,2022-01-09 01:00:00,4.315360171034072,1.4632546036861112,-1.0,0.12518138270162846,0.006052357095516779,0.0,23,4,0
72,168,2022-01-03 01:00:00,2022-01-10 01:00:00,4.407434696596825,2.173271344113763,-1.0,0.10257327788992228,0.0065509442582276645,0.0,23,6,0
96,168,2022-01-04 01:00:00,2022-01-11 01:00:00,4.33646449532079,1.5215945098338044,-1.0,0.19453372996608928,0.0035294188505858443,0.0,23,3,0
120,168,2022-01-05 01:00:00,2022-01-12 01:00:00,4.290378168458731,1.2674310805796443,-1.0,0.12548224164775765,0.00526834632207426,0.0,23,4,0
144,168,2022-01-06 01:00:00,2022-01-13 01:00:00,4.407238213973776,2.122691937852864,0.0,0.11377068321097476,0.009325244522650825,0.00020318587850093876,23,5,1
168,168,2022-01-07 01:00:00,2022-01-14 01:00:00,4.358629658104547,2.141364835807839,-1.0,0.16719284653302963,0.007908344192735662,0.0,23,5,0
192,168,2022-01-08 01:00:00,2022-01-15 01:00:00,4.356631615845384,1.5058140968376423,0.0,0.13524754262227112,0.008968828484062953,0.0008020141090210719,23,5,1
216,168,2022-01-09 01:00:00,2022-01-16 01:00:00,4.419022048416975,0.8583435185161642,-1.0,0.08298538605285422,0.0031696673906781627,0.0,23,3,0
240,168,2022-01-10 01:00:00,2022-01-17 01:00:00,4.35420229287117,2.470079095143006,0.0,0.16375686992268157,0.00465772688704116,0.004202855493678969,23,6,1
264,168,2022-01-11 01:00:00,2022-01-18 01:00:00,4.383328569073358,1.530034840795218,-1.0,0.12748299730183327,0.0014026423355156233,0.0,23,3,0
288,168,2022-01-12 01:00:00,2022-01-19 01:00:00,4.421352428982371,1.5514317477056314,-1.0,0.08099032603528292,0.008910134952566016,0.0,23,3,0
312,168,2022-01-13 01:00:00,2022-01-20 01:00:00,4.433405920732796,1.5741123898091338,-1.0,0.10013338091508485,0.007884901949230735,0.0,23,4,0
336,168,2022-01-14 01:00:00,2022-01-21 01:00:00,4.381269145502218,1.451038284846192,-1.0,0.13019612987852494,0.009278197753415846,0.0,23,3,0
360,168,2022-01-15 01:00:00,2022-01-22 01:00:00,4.403305256041616,1.410696349600906,-1.0,0.12217965713009764,0.009406234984564173,0.0,23,5,0
384,168,2022-01-16 01:00:00,2022-01-23 01:00:00,4.437541945966602,1.5842090296150664,-1.0,0.15046898746200765,0.011320258843954167,0.0,23,4,0
408,168,2022-01-17 01:00:00,2022-01-24 01:00:00,4.431063589409466,2.3372283555989317,-1.0,0.14627666755921664,0.009373929701189037,0.0,23,6,0
432,168,2022-01-18 01:00:00,2022-01-25 01:00:00,4.427383504236487,2.2212326652514927,-1.0,0.16286681449008036,0.02087449193382125,0.0,23,6,0
456,168,2022-01-19 01:00:00,2022-01-26 01:00:00,4.391777073932466,1.669456543858365,-1.0,0.15087421299391301,0.01097721575489815,0.0,23,5,0
480,168,2022-01-20 01:00:00,2022-01-27 01:00:00,4.4128452765391915,0.9810315085050352,-1.0,0.12494094702496114,4.98841121666646e-05,0.0,23,2,0
504,168,2022-01-21 01:00:00,2022-01-28 01:00:00,4.420670482789919,2.3106685637579165,-1.0,0.2083449760565119,0.015492197957801804,0.0,23,7,0
528,168,2022-01-22 01:00:00,2022-01-29 01:00:00,4.446896035147786,0.84757285059766,-1.0,0.10660117565159584,0.009068579576602502,0.0,23,2,0
552,168,2022-01-23 01:00:00,2022-01-30 01:00:00,4.4555252864982435,1.8413934412687516,-1.0,0.11427546638917778,0.012170191407766389,0.0,23,5,0
576,168,2022-01-24 01:00:00,2022-01-31 01:00:00,4.466541836966941,1.4337605451851827,-1.0,0.09613782077749924,0.004376491879971383,0.0,23,3,0
600,168,2022-01-25 01:00:00,2022-02-01 01:00:00,4.338845789812647,0.3489408895118736,-1.0,0.10932695964508048,0.0061240074335550095,0.0,23,2,0
624,168,2022-01-26 01:00:00,2022-02-02 01:00:00,4.410115833463376,0.8124815841689025,-1.0,0.12054313125699502,0.02055670597200037,0.0,23,2,0
648,168,2022-01-27 01:00:00,2022-02-03 01:00:00,4.434472926271431,1.5976340592345326,-1.0,0.0663463236310842,0.005239730077175217,0.0,23,4,0
