initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,504,2021-12-31 01:00:00,2022-01-21 01:00:00,8.009555816755148,6.735105223629884,4.9065814028589045,0.13217940794576125,0.02918396684553686,0.00456429332080069,287,150,39
24,504,2022-01-01 01:00:00,2022-01-22 01:00:00,7.997514211915297,6.645860885476053,5.0140398047036046,0.13217940794576125,0.03320001135122795,0.006171709249470164,287,143,42
48,504,2022-01-02 01:00:00,2022-01-23 01:00:00,7.994587987680325,6.841060368750015,4.843347878603301,0.13217940794576125,0.02498248298052499,0.006901554546663816,287,153,41
72,504,2022-01-03 01:00:00,2022-01-24 01:00:00,8.008574777361742,6.722384190485116,4.8399068624643,0.13217940794576125,0.035050752640775486,0.005846300696836141,287,147,39
96,504,2022-01-04 01:00:00,2022-01-25 01:00:00,7.998017350773114,6.776688238111408,4.743143317938535,0.15313907057831774,0.030462836829150415,0.006012382911842465,287,145,38
120,504,2022-01-05 01:00:00,2022-01-26 01:00:00,8.010595995828451,6.9182563751324535,5.039400505435452,0.15313907057831774,0.029993157862211746,0.006397676209477647,287,163,42
144,504,2022-01-06 01:00:00,2022-01-27 01:00:00,8.028635357805321,6.867650360784249,4.594530361113528,0.13217940794576125,0.03467427164152812,0.008417895824629974,287,165,30
168,504,2022-01-07 01:00:00,2022-01-28 01:00:00,8.022185292226162,6.8567743063218005,4.779769399942925,0.1424601861615648,0.033275332603660585,0.011253817534243489,287,162,36
192,504,2022-01-08 01:00:00,2022-01-29 01:00:00,8.044351828931946,6.842430574925282,4.938758900760368,0.11988378623063134,0.03453243815677011,0.007515569379158366,287,164,40
216,504,2022-01-09 01:00:00,2022-01-30 01:00:00,8.042871912806802,6.8368881600002975,4.635785874114951,0.11988378623063134,0.033242597754298324,0.013217017843025139,287,162,41
240,504,2022-01-10 01:00:00,2022-01-31 01:00:00,8.042544322830516,6.912743487011871,4.8805159958309225,0.12255231896272312,0.03486724462264215,0.010797969931956893,287,173,47
264,504,2022-01-11 01:00:00,2022-02-01 01:00:00,8.056667519028695,6.886116828283691,5.157752246740169,0.12255231896272312,0.035262319925154946,0.011108245637233415,287,171,55
288,504,2022-01-12 01:00:00,2022-02-02 01:00:00,8.063013632547955,6.940415993834742,5.344986699266566,0.12180061802071727,0.03111967399889599,0.008880585495232468,287,174,57
312,504,2022-01-13 01:00:00,2022-02-03 01:00:00,8.066323371218003,6.987292488130965,5.483580004423324,0.12180061802071727,0.03386582605472348,0.009053496030145516,287,177,60
336,504,2022-01-14 01:00:00,2022-02-04 01:00:00,8.062443138666634,6.9906882123793395,5.305078770248986,0.12284770006925001,0.03302700374712118,0.007976368834612325,287,181,53
360,504,2022-01-15 01:00:00,2022-02-05 01:00:00,8.057164992262312,6.8860204883954514,4.984064438882823,0.16584566464547568,0.030559573326037866,0.009866411194248956,287,166,45
384,504,2022-01-16 01:00:00,2022-02-06 01:00:00,8.058165046265309,7.042429954497315,5.072422757202807,0.15345992498901553,0.030677927769289754,0.008233211386793577,287,182,48
408,504,2022-01-17 01:00:00,2022-02-07 01:00:00,8.049918453106827,7.002823967994896,4.952101006841902,0.15345992498901553,0.029139709973555743,0.006538111629395613,287,177,44
432,504,2022-01-18 01:00:00,2022-02-08 01:00:00,8.050048772289877,6.9718560787719,4.749412023064734,0.1611419862471801,0.02323296748893021,0.011646143695072428,287,170,44
456,504,2022-01-19 01:00:00,2022-02-09 01:00:00,8.05574258210981,7.007733598293634,5.14358338667448,0.11869184699663074,0.02421235304454307,0.00814168578784526,287,174,50
480,504,2022-01-20 01:00:00,2022-02-10 01:00:00,8.048966068743743,6.9212237485698616,5.081238857039913,0.11869184699663074,0.022931881126036644,0.007371885487657337,287,168,51
504,504,2022-01-21 01:00:00,2022-02-11 01:00:00,8.050151399179594,7.021495162162728,5.196552346640859,0.11869184699663074,0.02234836242483098,0.0077900437734047595,287,178,52
528,504,2022-01-22 01:00:00,2022-02-12 01:00:00,8.061042808218975,7.038714116403599,5.158030495271479,0.11869184699663074,0.02201614195782156,0.005777914281343549,287,181,53
552,504,2022-01-23 01:00:00,2022-02-13 01:00:00,8.060439539533172,6.950757089740007,5.1236993979025796,0.11869184699663074,0.016978890182078665,0.0030665439003237337,287,167,44
576,504,2022-01-24 01:00:00,2022-02-14 01:00:00,8.057951745108012,6.86431665557648,5.147072371840057,0.11869184699663074,0.01875398488395578,0.0032008832310194903,287,161,46
600,504,2022-01-25 01:00:00,2022-02-15 01:00:00,8.076028335533275,6.873209582821887,5.215408293715645,0.08073255147286076,0.018095658045139382,0.00344362249205807,287,162,50
624,504,2022-01-26 01:00:00,2022-02-16 01:00:00,8.076736073146018,6.937805552010842,5.192537128043753,0.07489429904506384,0.016697703713624442,0.0035677266610791877,287,170,49
648,504,2022-01-27 01:00:00,2022-02-17 01:00:00,8.075964158219099,6.986039868161377,5.126010464727713,0.07028361104726877,0.018092051768534723,0.003895807386014988,287,174,50
672,504,2022-01-28 01:00:00,2022-02-18 01:00:00,8.077322712810718,6.898657250991399,5.241243976125933,0.0667681002985996,0.021523726665737174,0.004771967931049909,287,163,54
696,504,2022-01-29 01:00:00,2022-02-19 01:00:00,8.075176493013416,6.850764931800353,5.197851498900296,0.06793148410394252,0.021966204134743084,0.006069715106476186,287,164,52
720,504,2022-01-30 01:00:00,2022-02-20 01:00:00,8.068809067226008,6.864564802962472,4.79635614440142,0.07702224476030536,0.021058791599406407,0.006890728149083728,287,167,43
744,504,2022-01-31 01:00:00,2022-02-21 01:00:00,8.054299956018875,6.851486832486491,4.808051705995361,0.10744443404778126,0.024741969985392645,0.007728186472581075,287,163,38
768,504,2022-02-01 01:00:00,2022-02-22 01:00:00,8.057960016820886,7.0016489488162135,5.305388816682658,0.10744443404778126,0.022760098305651358,0.007121216134255317,287,171,51
792,504,2022-02-02 01:00:00,2022-02-23 01:00:00,8.061075684622754,6.9153806227395975,5.188485840048804,0.1132878833069734,0.020042139253041283,0.0064443050900353,287,163,52
816,504,2022-02-03 01:00:00,2022-02-24 01:00:00,8.048781410502976,6.9333378249879365,5.3048266080206306,0.11334601069309724,0.01835979363379245,0.0064991940449462245,287,167,56
840,504,2022-02-04 01:00:00,2022-02-25 01:00:00,8.03567448808924,6.972712922976465,5.355314332500306,0.1581180809135063,0.018338805441300166,0.00563342427300453,287,171,60
864,504,2022-02-05 01:00:00,2022-02-26 01:00:00,8.038520584761518,6.927639515699377,5.373599595745695,0.1581180809135063,0.01896715678657995,0.006080565429914532,287,164,57
888,504,2022-02-06 01:00:00,2022-02-27 01:00:00,8.024478691256721,6.959646157085115,5.196377988682061,0.13783172537091226,0.020127141741149795,0.0043163113650428525,287,170,49
912,504,2022-02-07 01:00:00,2022-02-28 01:00:00,8.010157630212557,6.8388231613760855,5.129920122202542,0.14004182956343286,0.02691938495274723,0.004415456210834967,287,159,49
936,504,2022-02-08 01:00:00,2022-03-01 01:00:00,8.02362774413042,6.902649222634066,5.43622129893424,0.14004182956343286,0.022392861790714164,0.005868042889102196,287,167,55
