date,open,high,low,close,volume,close_log_returns,open_log_returns,high_log_returns,low_log_returns,close_perc_change,open_perc_change,high_perc_change,low_perc_change,high_low_range,close_open_range
2022-01-01,1.359,1.383,1.281,1.308,120612337.3,-0.03824988213399967,0.019317093972435112,0.003621880091154355,-0.012412882419709606,-0.03752759381898452,0.019504876219054834,0.0036284470246734646,-0.012336160370084781,0.10200000000000009,-0.050999999999999934
2022-01-02,1.308,1.38,1.306,1.38,69007607.5,0.05358424613410626,-0.03824988213399967,-0.002171553513507907,0.019328007939642147,0.05504587155963292,-0.03752759381898452,-0.002169197396963196,0.01951600312256052,0.07399999999999984,0.07199999999999984
2022-01-03,1.379,1.391,1.342,1.377,81011860.4,-0.002176279422595406,0.05285934577615772,0.007939413772192525,0.02719200769525065,-0.0021739130434781373,0.05428134556574915,0.007971014492753614,0.027565084226646164,0.04899999999999993,-0.0020000000000000018
2022-01-04,1.378,1.378,1.31,1.319,87155825.9,-0.043033346011340255,-0.0007254262196979979,-0.009389740349839143,-0.02413390133642986,-0.042120551924473504,-0.0007251631617114507,-0.009345794392523477,-0.023845007451564815,0.06799999999999984,-0.05899999999999994
2022-01-05,1.319,1.352,1.295,1.309,94479305.9,-0.00761038680741472,-0.043759298856289264,-0.019048194970694363,-0.01151644206155918,-0.007581501137225222,-0.04281567489114657,-0.01886792452830177,-0.011450381679389388,0.05700000000000016,-0.010000000000000009
2022-01-06,1.31,1.353,1.193,1.23,158740088.2,-0.06224931754343674,-0.006846736522117338,0.0007393715678784486,-0.08203955203572191,-0.06035141329258975,-0.006823351023502622,0.0007396449704140107,-0.07876447876447867,0.15999999999999992,-0.08000000000000007
2022-01-07,1.23,1.297,1.186,1.28,175754407.6,0.03984590854719978,-0.06301296782873415,-0.04227044385434415,-0.005884842540245458,0.04065040650406515,-0.06106870229007644,-0.041389504804138944,-0.005867560771165237,0.11099999999999999,0.050000000000000044
2022-01-08,1.279,1.285,1.189,1.21,209806013.2,-0.05623971832287608,0.03906435321237947,-0.009295186987123715,0.0025263171331111355,-0.0546875,0.0398373983739837,-0.009252120277563614,0.002529510961214232,0.09599999999999986,-0.06899999999999995
2022-01-09,1.209,1.254,1.124,1.181,169730473.68,-0.024258822393424407,-0.0562849509640499,-0.024420276136454082,-0.056218866237145386,-0.023966942148760273,-0.054730258014073385,-0.024124513618676957,-0.05466778805719086,0.1299999999999999,-0.028000000000000025
2022-01-10,1.182,1.206,1.147,1.17,114093699.4,-0.009357788405560563,-0.022585652648749267,-0.03902934390573534,0.020256086675734322,-0.009314140558848494,-0.022332506203474045,-0.03827751196172258,0.020462633451957313,0.05899999999999994,-0.01200000000000001
2022-01-11,1.17,1.181,1.069,1.123,189250644.14,-0.041000073053358586,-0.010204170174241736,-0.020947561089768408,-0.07042620610432558,-0.04017094017094014,-0.010152284263959421,-0.020729684908789348,-0.06800348735832618,0.1120000000000001,-0.04699999999999993
2022-01-12,1.123,1.196,1.122,1.187,115267098.7,0.05542543987122498,-0.041000073053358586,0.012621118313214573,0.0483891750575965,0.05699020480854866,-0.04017094017094014,0.012701100762065876,0.04957904583723116,0.07399999999999984,0.06400000000000006
2022-01-13,1.188,1.314,1.186,1.312,145608592.7,0.10012357489436624,0.05626754518414709,0.09409326453397882,0.055473493475029,0.10530749789384997,0.05788067675868214,0.09866220735785958,0.057040998217468664,0.1280000000000001,0.12400000000000011
2022-01-14,1.312,1.354,1.227,1.233,179029543.6,-0.06210246633969002,0.09928146958144418,0.029987254427664478,0.03398586515324084,-0.06021341463414631,0.10437710437710446,0.030441400304414,0.03456998313659376,0.127,-0.07899999999999996
2022-01-15,1.232,1.309,1.22,1.292,143281596.5,0.04674118117820277,-0.06291382541056932,-0.033799687562320484,-0.005721306983609277,0.04785077047850761,-0.060975609756097615,-0.03323485967503703,-0.005704971475142706,0.08899999999999997,0.06000000000000005
