date,open,high,low,close,volume,original_close,processed_log_return,outliers_processed_log_return,normalized_outliers_processed_log_return,processed_log_return_wtmra_0,processed_log_return_wtmra_1,processed_log_return_wtmra_2,processed_log_return_wtmra_3,processed_log_return_wtmra_4,processed_log_return_wtmra_5,processed_log_return_wtmra_5_4,processed_log_return_wtmra_5_4_3,processed_log_return_wtmra_5_4_3_2,processed_log_return_wtmra_5_4_3_2_1,processed_log_return_wtmra_5_4_3_2_1_0,processed_log_return_wtmra_0_1,processed_log_return_wtmra_0_1_2,processed_log_return_wtmra_0_1_2_3,processed_log_return_wtmra_0_1_2_3_4,processed_log_return_wtmra_0_1_2_3_4_5
2022-01-01,1.359,1.383,1.281,1.308,120612337.3,1.308,-0.03824988213399967,-0.03824988213399967,-0.35321667801482315,-0.2750207149044335,0.007581550487085205,0.04554739541877215,-0.04825474627020118,-0.09730650912804541,0.014236346381999653,-0.08307016274604576,-0.13132490901624694,-0.08577751359747479,-0.0781959631103896,-0.35321667801482315,-0.26743916441734833,-0.22189176899857618,-0.27014651526877737,-0.36745302439682276,-0.3532166780148231
2022-01-02,1.308,1.38,1.306,1.38,69007607.5,1.38,0.05358424613410626,0.05358424613410626,0.5859348822601667,0.37981552470844343,0.23889436609514783,0.10456232977542884,-0.056295772840949006,-0.08905169895019609,0.008010133472291457,-0.08104156547790463,-0.13733733831885364,-0.0327750085434248,0.20611935755172303,0.5859348822601664,0.6187098908035913,0.7232722205790201,0.6669764477380711,0.577924748787875,0.5859348822601664
2022-01-03,1.379,1.391,1.342,1.377,81011860.4,1.377,-0.002176279422595406,-0.002176279422595406,0.015693888351618602,-0.07166343255122268,0.1362502212815736,0.0994353389260088,-0.07197294647804044,-0.07835701224336478,0.002001719416664088,-0.07635529282670069,-0.14832823930474112,-0.048892900378732326,0.08735732090284128,0.0156938883516186,0.06458678873035092,0.1640221276563597,0.09204918117831927,0.013692168934954493,0.01569388835161858
2022-01-04,1.378,1.378,1.31,1.319,87155825.9,1.319,-0.043033346011340255,-0.043033346011340255,-0.4021352842960097,-0.19138376813807761,-0.12760150349383856,0.07239088679539615,-0.08439532738155621,-0.0675578772796823,-0.003587694798251092,-0.07114557207793339,-0.1555408994594896,-0.08315001266409344,-0.210751516157932,-0.40213528429600964,-0.31898527163191615,-0.24659438483652,-0.3309897122180762,-0.3985475894977585,-0.4021352842960096
2022-01-05,1.319,1.352,1.295,1.309,94479305.9,1.309,-0.00761038680741472,-0.00761038680741472,-0.039878593528490186,0.26305464303685466,-0.1605021385369091,0.005104220163742556,-0.08191253960190566,-0.05700561170628455,-0.008617166883988123,-0.06562277859027267,-0.14753531819217833,-0.14243109802843576,-0.3029332365653449,-0.039878593528490214,0.10255250449994557,0.10765672466368813,0.02574418506178247,-0.03126142664450208,-0.0398785935284902
2022-01-06,1.31,1.353,1.193,1.23,158740088.2,1.23,-0.06224931754343674,-0.06224931754343674,-0.5986494777326978,-0.4194647098928732,0.028340911511073166,-0.08005082984297879,-0.06770186732878847,-0.04653889484107426,-0.013234087338056163,-0.05977298217913043,-0.1274748495079189,-0.2075256793508977,-0.1791847678398245,-0.5986494777326977,-0.39112379838180006,-0.47117462822477885,-0.5388764955535673,-0.5854153903946415,-0.5986494777326977
2022-01-07,1.23,1.297,1.186,1.28,175754407.6,1.28,0.03984590854719978,0.03984590854719978,0.4454382997406506,0.5278031009296796,0.13395772073232942,-0.11685986657256951,-0.045343291946299234,-0.03672298553397139,-0.01739637786851837,-0.054119363402489754,-0.09946265534878898,-0.21632252192135848,-0.08236480118902906,0.4454382997406506,0.661760821662009,0.5449009550894395,0.49955766314314026,0.46283467760916885,0.44543829974065047
2022-01-08,1.279,1.285,1.189,1.21,209806013.2,1.21,-0.05623971832287608,-0.05623971832287608,-0.5371916668833402,-0.3479378535646508,0.03326991708454226,-0.15766497187245096,-0.015922608385920068,-0.027796335143030634,-0.021139815001829845,-0.04893615014486048,-0.06485875853078055,-0.2225237304032315,-0.18925381331868923,-0.5371916668833401,-0.31466793648010855,-0.4723329083525595,-0.48825551673847956,-0.5160518518815101,-0.53719166688334
2022-01-09,1.209,1.254,1.124,1.181,169730473.68,1.181,-0.024258822393424407,-0.024258822393424407,-0.21013560529095549,0.062450223035949284,-0.10850106262041648,-0.14387014115896118,0.023490688389701527,-0.019228071100039195,-0.02447724183718937,-0.04370531293722857,-0.02021462454752704,-0.16408476570648822,-0.2725858283269047,-0.21013560529095543,-0.04605083958446719,-0.1899209807434284,-0.16643029235372686,-0.18565836345376605,-0.21013560529095543
2022-01-10,1.182,1.206,1.147,1.17,114093699.4,1.17,-0.009357788405560563,-0.009357788405560563,-0.05774858334899165,0.18264867553162928,-0.1916549638671909,-0.08596882152536597,0.07611704028009719,-0.011505497527180308,-0.027385016240980976,-0.038890513768161286,0.037226526511935906,-0.04874229501343007,-0.24039725888062097,-0.05774858334899169,-0.009006288335561607,-0.09497510986092758,-0.01885806958083039,-0.0303635671080107,-0.057748583348991675
2022-01-11,1.17,1.181,1.069,1.123,189250644.14,1.123,-0.041000073053358586,-0.041000073053358586,-0.38134180035963944,-0.37996710430229663,-0.049813848428369785,-0.054873349671169656,0.13788266116098935,-0.004631116331610171,-0.02993904278718259,-0.034570159118792756,0.1033125020421966,0.04843915237102694,-0.0013746960573428474,-0.3813418003596395,-0.4297809527306664,-0.48465430240183605,-0.3467716412408467,-0.35140275757245687,-0.38134180035963944
2022-01-12,1.123,1.196,1.122,1.187,115267098.7,1.187,0.05542543987122498,0.05542543987122498,0.6047640474473764,0.13794121568119047,0.28014506992193366,0.026816119903152677,0.19046468557750687,0.0016700580312042862,-0.03227310166761168,-0.030603043636407392,0.15986164194109947,0.18667776184425217,0.46682283176618583,0.6047640474473763,0.4180862856031241,0.4449024055062768,0.6353670910837836,0.6370371491149879,0.6047640474473762
2022-01-13,1.188,1.314,1.186,1.312,145608592.7,1.312,0.10012357489436624,0.09407324784830688,1.0,0.49699173846084943,0.22345073614035676,0.09067794383263039,0.21790209699903754,0.005583196479582196,-0.03460571191245655,-0.029022515432874357,0.1888795815661632,0.2795575253987936,0.5030082615391503,0.9999999999999998,0.7204424746012061,0.8111204184338365,1.029022515432874,1.0346057119124563,0.9999999999999998
2022-01-14,1.312,1.354,1.227,1.233,179029543.6,1.233,-0.06210246633969002,-0.06210246633969002,-0.5971476881504594,-0.7074884499191075,-0.227817588948732,0.1489796614498862,0.21920304923840764,0.006899981411559332,-0.03692434138247294,-0.03002435997091361,0.18917868926749404,0.3381583507173802,0.11034076176864821,-0.5971476881504594,-0.9353060388678396,-0.7863263774179534,-0.5671233281795458,-0.5602233467679865,-0.5971476881504594
2022-01-15,1.232,1.309,1.22,1.292,143281596.5,1.292,0.04674118117820277,0.04674118117820277,0.5159535446942733,0.46762709143731285,-0.3788952309054186,0.2613688492098417,0.19838995713986826,0.006578029949023646,-0.0391151521363546,-0.03253712218733096,0.1658528349525373,0.42722168416237905,0.048326453256960444,0.5159535446942733,0.08873186053189425,0.35010070974173596,0.5484906668816042,0.5550686968306279,0.5159535446942732
