date,open,high,low,close,volume,TI_SMA_5_Feature,TI_SMA_14_Feature,TI_SMA_21_Feature,TI_EMA_5_Feature,TI_EMA_14_Feature,TI_EMA_21_Feature,MI_RSI_5_Feature,MI_RSI_14_Feature,MI_RSI_21_Feature,MI_MACD_12_26_Feature,MI_Signal_Line_12_26_Feature,MI_MACD_8_17_Feature,MI_Signal_Line_8_17_Feature,MI_MACD_13_30_Feature,MI_Signal_Line_13_30_Feature,VolI_BB_Middle_Band_20_1_Feature,VolI_BB_Upper_Band_20_1_Feature,VolI_BB_Lower_Band_20_1_Feature,VolI_BB_Middle_Band_20_2_Feature,VolI_BB_Upper_Band_20_2_Feature,VolI_BB_Lower_Band_20_2_Feature,VolI_BB_Middle_Band_20_3_Feature,VolI_BB_Upper_Band_20_3_Feature,VolI_BB_Lower_Band_20_3_Feature,MI_Stochastic_Osclilator_percK_5_Feature,MI_Stochastic_Osclilator_percD_5_Feature,MI_Stochastic_Osclilator_percK_14_Feature,MI_Stochastic_Osclilator_percD_14_Feature,MI_Stochastic_Osclilator_percK_21_Feature,MI_Stochastic_Osclilator_percD_21_Feature,VolI_ATR_5_Feature,VolI_ATR_14_Feature,VolI_ATR_21_Feature
2022-01-22,1.259,1.282,1.101,1.12,408519522.4,1.3554,1.2840000000000003,1.2895714285714286,1.2735763834492007,1.3025639720143192,1.3051986932731217,28.550295857988175,46.28099173553719,43.94329896907216,-0.006023252069635721,-0.0021309573373148997,-0.007330659821698671,0.008027220081589239,-0.007875155802808509,-0.006397450130234808,1.28505,1.4019307196742856,1.1681692803257144,1.28505,1.5188114393485712,1.0512885606514288,1.28505,1.6356921590228568,0.9344078409771434,3.538175046554959,9.275860243769833,8.963093145869976,29.81839484475689,8.963093145869976,29.81839484475689,0.16609752763607943,0.12891663011032267,0.12072789115646256
2022-01-23,1.12,1.155,0.917,1.071,554287709.12,1.249,1.276142857142857,1.2748571428571427,1.206050922299467,1.2716887757457433,1.2839079029755651,0.0,45.52845528455284,39.89535644211903,-0.02398784278389865,-0.00650233442663165,-0.0315392494297182,0.00011392617932775175,-0.02548107800124222,-0.009867200652236155,1.26975,1.3937707431716246,1.1457292568283752,1.26975,1.5177914863432491,1.0217085136567507,1.26975,1.6418122295148738,0.897687770485126,21.359223300970868,8.988193936686043,21.359223300970868,21.23807736277237,21.359223300970868,21.23807736277237,0.18047802210886355,0.13670829938815676,0.1263122772918691
2022-01-24,1.071,1.17,1.051,1.124,257147931.5,1.1822,1.272857142857143,1.2628095238095238,1.1787006148663115,1.2519969389796444,1.2693708208868772,12.045454545454575,48.19182389937108,41.98860037998734,-0.03356137861092612,-0.011914143263490544,-0.04160841633329415,-0.00823054232319663,-0.035211346694905776,-0.014475227205448813,1.2600000000000002,1.3875596867517734,1.132440313248227,1.2600000000000002,1.5151193735035466,1.0048806264964538,1.2600000000000002,1.6426790602553196,0.8773209397446807,33.54943273905998,19.482277028861933,28.710124826629695,19.67748042449018,28.710124826629695,19.67748042449018,0.16818241768709083,0.1354434208604313,0.12596407361130393
2022-01-25,1.124,1.125,0.951,1.065,437410320.0,1.1278000000000001,1.2687142857142857,1.2507142857142857,1.1408004099108744,1.2270640137823585,1.2507916553517064,14.021164021164054,47.741433021806856,41.962025316455694,-0.04538609894707668,-0.018608534400207773,-0.054098002925067945,-0.017404034443570894,-0.04731108890369673,-0.020445383877857524,1.2478,1.3819258639055907,1.1136741360944094,1.2478,1.5160517278111814,0.9795482721888187,1.2478,1.650177591716772,0.845422408283228,29.019607843137234,27.976087961056027,20.527045769764207,23.53213129912159,20.527045769764207,23.53213129912159,0.16934593414967267,0.13819746222754334,0.1282514986774323
2022-01-26,1.066,1.074,0.991,1.043,218828333.3,1.0846,1.2584285714285712,1.238047619047619,1.1082002732739162,1.2025221452780441,1.2319015048651876,16.459627329192585,44.20289855072463,41.64572864321609,-0.05588824623098865,-0.026064476766363948,-0.06384147012616914,-0.026691521580090544,-0.058300641744813086,-0.027328158035485807,1.2384499999999998,1.3801841748336985,1.0967158251663012,1.2384499999999998,1.5219183496673971,0.9549816503326025,1.2384499999999998,1.6636525245010958,0.813247475498904,34.52054794520545,32.36319617580089,17.47572815533979,22.237632917244564,17.47572815533979,22.237632917244564,0.15207674731973814,0.1342547863541474,0.1260966654070784
2022-01-27,1.043,1.157,1.022,1.077,336503954.9,1.0759999999999998,1.241642857142857,1.2307619047619047,1.0978001821826109,1.1857858592409716,1.2178195498774431,40.092165898617495,39.791485664639445,45.05494505494505,-0.06076727049922748,-0.033005035512936653,-0.06522358399048178,-0.034397934062168796,-0.06391161368428122,-0.033979695426175884,1.2283,1.3741120997073035,1.0824879002926964,1.2283,1.5199241994146069,0.936675800585393,1.2283,1.6657362991219105,0.7908637008780894,63.24110671936758,42.260420835903425,22.191400832177525,20.06472491909384,22.191400832177525,20.06472491909384,0.14866139785579052,0.13430801590027971,0.12652063372102704
2022-01-28,1.078,1.08,1.004,1.042,184762461.8,1.0702,1.2279999999999998,1.2194285714285713,1.079200121455074,1.1666144113421755,1.2018359544340391,42.85714285714289,41.373080397470645,42.23237597911227,-0.0666893861452924,-0.039741905639407805,-0.06845754952653782,-0.0412098571550426,-0.0705636223944146,-0.040631318511310195,1.2199,1.3715442859908813,1.0682557140091187,1.2199,1.5231885719817626,0.9166114280182374,1.2199,1.674832857972644,0.7649671420273562,41.55251141552515,46.43805536003273,17.3370319001387,19.001386962552004,17.3370319001387,19.001386962552004,0.13412911828463242,0.13014315762168832,0.124114889258121
2022-01-29,1.042,1.059,1.008,1.048,137690073.1,1.0550000000000002,1.2105714285714286,1.2117142857142857,1.0688000809700493,1.150799156496552,1.1878508676673083,25.641025641025635,38.425047438330175,44.482288828337886,-0.0700905948577899,-0.045811643483084225,-0.06833640101994609,-0.046635165928023296,-0.07477708908001057,-0.04683964043289208,1.21325,1.369535122368331,1.056964877631669,1.21325,1.525820244736662,0.9006797552633379,1.21325,1.682105367104993,0.744394632895007,47.08737864077672,50.62699892522315,18.169209431345358,19.232547387887195,18.169209431345358,19.232547387887195,0.11750329462770592,0.12449007493442486,0.12063322786487712
2022-01-30,1.049,1.084,1.037,1.059,89531278.4,1.0538,1.1940000000000002,1.205904761904762,1.0655333873133663,1.1385592689636785,1.1761371524248256,47.222222222222214,39.09774436090226,45.79310344827586,-0.07107911342333306,-0.050865137471134,-0.06534310326180992,-0.05037675339478062,-0.0766046882741751,-0.052251467313125355,1.2077,1.3675325110199654,1.0478674889800346,1.2077,1.5273650220399309,0.8880349779600692,1.2077,1.687197533059896,0.7282024669401039,40.96385542168671,43.20124849266286,19.69486823855755,18.400369856680538,19.69486823855755,18.400369856680538,0.10340263570216476,0.11895506958196596,0.11712688368083538
2022-01-31,1.059,1.077,1.024,1.035,72352160.1,1.0522,1.1672142857142858,1.1994761904761906,1.0553555915422443,1.124751366435188,1.163306502204387,46.36363636363636,30.65015479876162,45.38619275461381,-0.07295810530889169,-0.05528373103868554,-0.06432691954601677,-0.053166786625027856,-0.07924428681443452,-0.05715925267699974,1.2033,1.366757092390118,1.039842907609882,1.2033,1.530214184780236,0.8763858152197641,1.2033,1.693671277170354,0.7129287228296461,20.261437908496674,36.10422399032004,16.366158113730915,18.076745261211276,16.366158113730915,18.076745261211276,0.0933221085617318,0.1142439931832541,0.11407322255317653
