date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_trend,processed_log_return_wtmra_0_trend_seasonal,processed_log_return_wtmra_0_trend_residual
2021-12-31 01:00:00,-0.2133315775390283,-0.016300153782560486,-0.16216575313657386,-0.03486567061989394
2021-12-31 02:00:00,0.3557418991973863,-0.01636102657676777,-0.26050650063550407,0.6326094264096581
2021-12-31 03:00:00,-0.3609510810064348,-0.016431457571983984,-0.17853351155575833,-0.1659861118786925
2021-12-31 04:00:00,0.1864229917867188,-0.01651138379269786,0.20558681461610667,-0.0026524390366900012
2021-12-31 05:00:00,0.0267927429981792,-0.016598582606628484,-0.09388488188108328,0.13727620748589098
2021-12-31 06:00:00,-0.0594490949340105,-0.016690049459495898,0.0023663262419179407,-0.04512537171643254
2021-12-31 07:00:00,0.0202437968816183,-0.01678370947303134,-0.03929959236308317,0.07632709871773281
2021-12-31 08:00:00,-0.2959911479961906,-0.0168769543647508,-0.22015417539762408,-0.058960018233815706
2021-12-31 09:00:00,0.6230255617988116,-0.016967372150554067,0.44913083954485794,0.19086209440450777
2021-12-31 10:00:00,-0.42399182179026,-0.017051898254930444,-0.22909477970845948,-0.17784514382687008
2021-12-31 11:00:00,-0.0095315464809487,-0.017128852336520946,-0.06943323719722563,0.07703054305279788
2021-12-31 12:00:00,0.1206277520314009,-0.01719435855436187,0.06965097100675988,0.06817113957900289
2021-12-31 13:00:00,0.0156289472513614,-0.01724527186013292,0.14608317760468956,-0.11320895849319523
2021-12-31 14:00:00,-0.0848371197990055,-0.017279930247565967,-0.11198628125163616,0.04442909170019663
2021-12-31 15:00:00,-0.0688841711163036,-0.01729514260543484,-0.05993228760975814,0.008343259098889381
2021-12-31 16:00:00,0.3302416286067544,-0.017289115343689463,0.2799738919690013,0.06755685198144254
2021-12-31 17:00:00,-0.3704621726678333,-0.017263448994068658,-0.26193493643683996,-0.0912637872369247
2021-12-31 18:00:00,0.1105883276204485,-0.017226305061984203,0.12838670474059077,-0.000572072058158072
2021-12-31 19:00:00,0.2999831908745419,-0.017191759341949192,0.006997402532913587,0.3101775476835775
2021-12-31 20:00:00,-0.5298461487377748,-0.017188088450481552,-0.006102616034910566,-0.5065554442523826
2021-12-31 21:00:00,0.1421490886837716,-0.017273538260801313,0.13878436967556598,0.02063825726900693
2021-12-31 22:00:00,0.4222388169154386,-0.0175429952963729,0.23573127128129132,0.20405054093052016
2021-12-31 23:00:00,-0.3535815267785943,-0.018130090349601006,0.01502205953581848,-0.35047349596481175
2022-01-01 00:00:00,-0.17950685590584,-0.019163757148841352,0.04247328441370897,-0.20281638317070763
2022-01-01 01:00:00,0.4710640842794011,-0.020158183270171912,-0.1663431355045748,0.6575654030541479
2022-01-01 02:00:00,-0.2918610825280678,-0.021246518832926834,-0.25830643627618505,-0.012308127418955924
2022-01-01 03:00:00,0.0237317711201847,-0.02232240212063049,-0.09456020450988761,0.14061437775070282
2022-01-01 04:00:00,0.181426228123972,-0.023294085193764507,0.13523224741358925,0.06948806590414726
2022-01-01 05:00:00,-0.4480192666859248,-0.024135480239749225,-0.11786702513965183,-0.3060167613065238
2022-01-01 06:00:00,0.5632874259330863,-0.024781068179495033,0.04979290273312613,0.5382755913794552
2022-01-01 07:00:00,-0.4176640980768724,-0.025215008622286886,-0.06918376701856836,-0.32326532243601713
2022-01-01 08:00:00,0.1865849266815994,-0.025444594704704213,-0.12129655274599445,0.3333260741322981
2022-01-01 09:00:00,-0.0350878334822916,-0.025455901191804367,0.28468314954937257,-0.2943150818398598
2022-01-01 10:00:00,0.1015768098877713,-0.02518336001172687,-0.15522395072832826,0.28198412062782646
2022-01-01 11:00:00,-0.1919309072023614,-0.02465284822713017,-0.05052926138533852,-0.11674879758989269
2022-01-01 12:00:00,0.0080967313766186,-0.02391469308760181,0.07401096824159975,-0.04199954377737935
2022-01-01 13:00:00,0.1950365189863439,-0.02295552804982377,0.08985522382598758,0.12813682321018008
2022-01-01 14:00:00,-0.1004725505641162,-0.02179010187099628,-0.08150046260617624,0.002818013913056319
2022-01-01 15:00:00,-0.073098925965653,-0.020472940764550713,-0.023669943210508124,-0.02895604199059416
2022-01-01 16:00:00,0.1000777856836221,-0.019033590326015017,0.17013522035318823,-0.05102384434355111
2022-01-01 17:00:00,-0.1227886192259984,-0.01752187202929944,-0.18191415143807532,0.07664740424137637
2022-01-01 18:00:00,0.2014604264246021,-0.016004976971104194,0.13463442768084868,0.08283097571485762
2022-01-01 19:00:00,-0.150333729804811,-0.014585307526788304,0.014438649096519006,-0.1501870713745417
2022-01-01 20:00:00,5.0543362699973246e-05,-0.013304217231475145,-0.0014026240988217952,0.014757384692996913
2022-01-01 21:00:00,0.0347056607141565,-0.012236734621675996,0.08781364276759712,-0.04087124743176463
2022-01-01 22:00:00,-0.0303273925518218,-0.01144937104813853,0.13742074236460414,-0.1562987638682874
2022-01-01 23:00:00,0.0150393939402106,-0.010887720703163097,0.028504508886169358,-0.0025773942427956605
2022-01-02 00:00:00,0.1037241715226197,-0.010463791316683277,0.049031005353089026,0.06515695748621395
2022-01-02 01:00:00,-1.5619050146816017e-06,-0.010177262878123152,-0.16257829574177035,0.17275399671487882
2022-01-02 02:00:00,-0.3082349558365436,-0.010026906477788535,-0.24581383427923906,-0.052394215079516
2022-01-02 03:00:00,0.2822506493126552,-0.010009896450816362,-0.00720447655743899,0.29946502232091055
2022-01-02 04:00:00,0.0244832373371199,-0.010124546262075727,0.0805696486227886,-0.04596186502359298
