date,processed_log_return_wtmra_0,processed_log_return_wtmra_0_year,processed_log_return_wtmra_0_month,processed_log_return_wtmra_0_day,processed_log_return_wtmra_0_hour,processed_log_return_wtmra_0_dayofweek,processed_log_return_wtmra_0_dayofyear,processed_log_return_wtmra_0_days_in_month
2022-01-03 00:00:00,0.1586936382850835,2022,1,3,0,0,3,31
2022-01-03 01:00:00,-0.3555573221761975,2022,1,3,1,0,3,31
2022-01-03 02:00:00,0.2829689574208365,2022,1,3,2,0,3,31
2022-01-03 03:00:00,-0.0486195154206732,2022,1,3,3,0,3,31
2022-01-03 04:00:00,-0.1093302597269961,2022,1,3,4,0,3,31
2022-01-03 05:00:00,0.0018470719412012,2022,1,3,5,0,3,31
2022-01-03 06:00:00,0.1990269204963315,2022,1,3,6,0,3,31
2022-01-03 07:00:00,-0.2132839967683595,2022,1,3,7,0,3,31
2022-01-03 08:00:00,0.0840383145019695,2022,1,3,8,0,3,31
2022-01-03 09:00:00,0.0109602673807847,2022,1,3,9,0,3,31
2022-01-03 10:00:00,-0.0230821225044062,2022,1,3,10,0,3,31
2022-01-03 11:00:00,-0.0578987600793223,2022,1,3,11,0,3,31
2022-01-03 12:00:00,0.2142993958324361,2022,1,3,12,0,3,31
2022-01-03 13:00:00,-0.2899957381259425,2022,1,3,13,0,3,31
2022-01-03 14:00:00,0.1902562014568068,2022,1,3,14,0,3,31
2022-01-03 15:00:00,-0.0423524989132655,2022,1,3,15,0,3,31
2022-01-03 16:00:00,0.1085152104494277,2022,1,3,16,0,3,31
2022-01-03 17:00:00,-0.3268482588538562,2022,1,3,17,0,3,31
2022-01-03 18:00:00,0.2415905920616023,2022,1,3,18,0,3,31
2022-01-03 19:00:00,0.0940534532333408,2022,1,3,19,0,3,31
2022-01-03 20:00:00,-0.1275260025840628,2022,1,3,20,0,3,31
2022-01-03 21:00:00,-0.1375619028854403,2022,1,3,21,0,3,31
2022-01-03 22:00:00,0.1996737258331907,2022,1,3,22,0,3,31
2022-01-03 23:00:00,-0.0462498796126887,2022,1,3,23,0,3,31
2022-01-04 00:00:00,0.0654148550968313,2022,1,4,0,1,4,31
2022-01-04 01:00:00,-0.130821328886913,2022,1,4,1,1,4,31
2022-01-04 02:00:00,-0.0271998536518918,2022,1,4,2,1,4,31
2022-01-04 03:00:00,0.0897637153802078,2022,1,4,3,1,4,31
2022-01-04 04:00:00,0.104536830042889,2022,1,4,4,1,4,31
2022-01-04 05:00:00,-0.1983614602464285,2022,1,4,5,1,4,31
2022-01-04 06:00:00,0.1072013319029102,2022,1,4,6,1,4,31
2022-01-04 07:00:00,-0.0996409155325599,2022,1,4,7,1,4,31
2022-01-04 08:00:00,0.1977674343859044,2022,1,4,8,1,4,31
2022-01-04 09:00:00,-0.1312339333119627,2022,1,4,9,1,4,31
2022-01-04 10:00:00,-0.0990525982894671,2022,1,4,10,1,4,31
2022-01-04 11:00:00,0.1324955963392752,2022,1,4,11,1,4,31
2022-01-04 12:00:00,0.0705865737811871,2022,1,4,12,1,4,31
2022-01-04 13:00:00,-0.1685610006718668,2022,1,4,13,1,4,31
2022-01-04 14:00:00,0.0459293121353064,2022,1,4,14,1,4,31
2022-01-04 15:00:00,0.1524752952087102,2022,1,4,15,1,4,31
2022-01-04 16:00:00,-0.2523238697756524,2022,1,4,16,1,4,31
2022-01-04 17:00:00,0.1026459733043968,2022,1,4,17,1,4,31
2022-01-04 18:00:00,0.3135470871381478,2022,1,4,18,1,4,31
2022-01-04 19:00:00,-0.6128362911931247,2022,1,4,19,1,4,31
