initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,1080,2021-12-31 01:00:00,2022-02-14 01:00:00,9.053599465760598,8.115867896672484,6.654525497301592,0.09714356062187611,0.026878723442228972,0.009101087247346665,575,392,141
24,1080,2022-01-01 01:00:00,2022-02-15 01:00:00,9.053623412617808,8.111565980937039,6.556078571851582,0.09570834982894283,0.027561705969118663,0.010509953610375954,575,389,135
48,1080,2022-01-02 01:00:00,2022-02-16 01:00:00,9.052918870222676,8.081524099782463,6.5789254016869645,0.09570834982894283,0.027769294072689934,0.011262129281238008,575,381,139
72,1080,2022-01-03 01:00:00,2022-02-17 01:00:00,9.052939547385472,8.054632571684067,6.501288516302184,0.09570834982894283,0.027220775184550183,0.00969121960839156,575,377,130
96,1080,2022-01-04 01:00:00,2022-02-18 01:00:00,9.05113345618983,7.990508541104532,6.409661070703304,0.1142825727885858,0.026794895048765078,0.00869346089462643,575,354,124
120,1080,2022-01-05 01:00:00,2022-02-19 01:00:00,9.054397347561006,8.038554515872551,6.457395722975211,0.1142825727885858,0.020015582889014137,0.009015511344236114,575,360,132
144,1080,2022-01-06 01:00:00,2022-02-20 01:00:00,9.054366274654194,8.026697688319432,6.390797535548119,0.1142825727885858,0.021308326992309667,0.009596975588276418,575,360,122
168,1080,2022-01-07 01:00:00,2022-02-21 01:00:00,9.04907490128777,8.009082469362975,6.393437093447915,0.1142825727885858,0.021117148715685985,0.009755043074936211,575,350,123
192,1080,2022-01-08 01:00:00,2022-02-22 01:00:00,9.051614703610879,8.042209919926782,6.42399626842261,0.1142825727885858,0.021476692362748823,0.009408689580290333,575,363,125
216,1080,2022-01-09 01:00:00,2022-02-23 01:00:00,9.056831790170685,8.070908177390274,6.394002506523998,0.1142825727885858,0.022059470405757384,0.010463894836016709,575,373,122
240,1080,2022-01-10 01:00:00,2022-02-24 01:00:00,9.05443049940625,8.107124656722055,6.541061633244506,0.1142825727885858,0.02316913650490768,0.009350820790481882,575,387,130
264,1080,2022-01-11 01:00:00,2022-02-25 01:00:00,9.045465866910083,8.071556587372783,6.570521599073029,0.14145287658712874,0.022986010832341964,0.009138577236425706,575,377,134
288,1080,2022-01-12 01:00:00,2022-02-26 01:00:00,9.052506705115457,8.08788467289467,6.583923463722856,0.14145287658712874,0.026368935219407443,0.007604068196905841,575,386,136
312,1080,2022-01-13 01:00:00,2022-02-27 01:00:00,9.049417842823491,8.080348865892333,6.597378354352611,0.14145287658712874,0.02224959559976788,0.0068857165781324135,575,378,132
336,1080,2022-01-14 01:00:00,2022-02-28 01:00:00,9.04898575612127,8.054256584884861,6.546575928343974,0.14329089129584507,0.023313011703065874,0.006430195954790731,575,367,133
360,1080,2022-01-15 01:00:00,2022-03-01 01:00:00,9.051652876462446,8.059374696707057,6.528715146963638,0.14329089129584507,0.02263687702178847,0.007748072303307084,575,367,136
384,1080,2022-01-16 01:00:00,2022-03-02 01:00:00,9.052507035902725,8.099891829291195,6.604175021884875,0.14254493649691402,0.02217336315348698,0.007020698259376842,575,370,142
408,1080,2022-01-17 01:00:00,2022-03-03 01:00:00,9.05079475180445,8.074182214396961,6.61995263215312,0.14254493649691402,0.02245231681417989,0.006673935430873231,575,371,141
432,1080,2022-01-18 01:00:00,2022-03-04 01:00:00,9.048145872312082,8.05506548751178,6.650814068767505,0.14254493649691402,0.022647166745301036,0.006553524697071914,575,367,141
456,1080,2022-01-19 01:00:00,2022-03-05 01:00:00,9.050181489974447,8.115094867376097,6.545080459958385,0.11401191363749213,0.021972210450417532,0.007201619408842638,575,373,135
480,1080,2022-01-20 01:00:00,2022-03-06 01:00:00,9.052411534017809,8.137586912318246,6.620081801306806,0.11401191363749213,0.020604937103203276,0.007135904456843755,575,375,141
504,1080,2022-01-21 01:00:00,2022-03-07 01:00:00,9.055680645010728,8.078176898966092,6.600928639435613,0.11401191363749213,0.02167468963414623,0.007978245417048368,575,367,139
528,1080,2022-01-22 01:00:00,2022-03-08 01:00:00,9.055241197608494,8.058847860363688,6.627041815483971,0.11401191363749213,0.023672078093375504,0.00713775272481966,575,365,137
552,1080,2022-01-23 01:00:00,2022-03-09 01:00:00,9.060628819208718,8.085186048825712,6.652802995996152,0.11401191363749213,0.0228561186354596,0.0074830355274136074,575,371,139
576,1080,2022-01-24 01:00:00,2022-03-10 01:00:00,9.05614047629509,8.02088777017527,6.6167747946954005,0.11401191363749213,0.024339516920954055,0.007518646408986952,575,359,138
600,1080,2022-01-25 01:00:00,2022-03-11 01:00:00,9.055102165950078,8.00892806960125,6.673430052068531,0.11401191363749213,0.023255436054699808,0.007819598570249841,575,357,142
624,1080,2022-01-26 01:00:00,2022-03-12 01:00:00,9.052952725896844,8.077802279896181,6.68029051564507,0.11401191363749213,0.02182818283457874,0.007304014952949823,575,368,140
648,1080,2022-01-27 01:00:00,2022-03-13 01:00:00,9.05133630716921,8.092864999634683,6.587548180078244,0.11401191363749213,0.02150173827568493,0.0075212094734830445,575,371,132
672,1080,2022-01-28 01:00:00,2022-03-14 01:00:00,9.055380431677262,8.060865301064855,6.67036238308364,0.11401191363749213,0.022470868713225105,0.006927050002203264,575,361,136
696,1080,2022-01-29 01:00:00,2022-03-15 01:00:00,9.05474153432399,8.077850433230052,6.5830319434102185,0.11401191363749213,0.021000065847369603,0.007719641146140539,575,362,133
720,1080,2022-01-30 01:00:00,2022-03-16 01:00:00,9.05071170201571,8.107342930958476,6.548103034794777,0.11401191363749213,0.0218199778762044,0.008108012966786754,575,369,131
744,1080,2022-01-31 01:00:00,2022-03-17 01:00:00,9.054399539508184,8.105600251017547,6.565130732608098,0.10620563842234747,0.02080927688651945,0.008320313838984156,575,369,136
768,1080,2022-02-01 01:00:00,2022-03-18 01:00:00,9.051511573892578,8.115874355285197,6.531253509448902,0.10620563842234747,0.021624625929036,0.008324527390095371,575,378,134
792,1080,2022-02-02 01:00:00,2022-03-19 01:00:00,9.047730470745435,8.07024307596875,6.4786041572542565,0.10620563842234747,0.02115420419817673,0.008687086406062907,575,372,128
816,1080,2022-02-03 01:00:00,2022-03-20 01:00:00,9.04327767050309,8.046561759866412,6.512425956234483,0.10620563842234747,0.022245071337161602,0.009082920479352725,575,370,132
