initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,72,2021-12-31 01:00:00,2022-01-03 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
24,72,2022-01-01 01:00:00,2022-01-04 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
48,72,2022-01-02 01:00:00,2022-01-05 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
72,72,2022-01-03 01:00:00,2022-01-06 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
96,72,2022-01-04 01:00:00,2022-01-07 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
120,72,2022-01-05 01:00:00,2022-01-08 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
144,72,2022-01-06 01:00:00,2022-01-09 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
168,72,2022-01-07 01:00:00,2022-01-10 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
192,72,2022-01-08 01:00:00,2022-01-11 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
216,72,2022-01-09 01:00:00,2022-01-12 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
240,72,2022-01-10 01:00:00,2022-01-13 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
264,72,2022-01-11 01:00:00,2022-01-14 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
288,72,2022-01-12 01:00:00,2022-01-15 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
312,72,2022-01-13 01:00:00,2022-01-16 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
336,72,2022-01-14 01:00:00,2022-01-17 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
360,72,2022-01-15 01:00:00,2022-01-18 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
384,72,2022-01-16 01:00:00,2022-01-19 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
408,72,2022-01-17 01:00:00,2022-01-20 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
432,72,2022-01-18 01:00:00,2022-01-21 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
456,72,2022-01-19 01:00:00,2022-01-22 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
480,72,2022-01-20 01:00:00,2022-01-23 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
504,72,2022-01-21 01:00:00,2022-01-24 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
528,72,2022-01-22 01:00:00,2022-01-25 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
552,72,2022-01-23 01:00:00,2022-01-26 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
576,72,2022-01-24 01:00:00,2022-01-27 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
600,72,2022-01-25 01:00:00,2022-01-28 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
624,72,2022-01-26 01:00:00,2022-01-29 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
648,72,2022-01-27 01:00:00,2022-01-30 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
672,72,2022-01-28 01:00:00,2022-01-31 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
696,72,2022-01-29 01:00:00,2022-02-01 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
720,72,2022-01-30 01:00:00,2022-02-02 01:00:00,-1.0,-1.0,-1.0,0.0,0.0,0.0,0,0,0
