initial_slice_position,slice_size,start_date,end_date,connected_components_entropy,loops_entropy,voids_entropy,connected_components_amplitude,loops_amplitude,voids_amplitude,connected_components_number_of_points,loops_number_of_points,voids_number_of_points
0,1080,2021-12-31 01:00:00,2022-02-14 01:00:00,9.338298754361926,8.001050006779938,5.827201618000432,0.08497940335541986,0.020383911072746536,0.006660362837583672,743,369,88
24,1080,2022-01-01 01:00:00,2022-02-15 01:00:00,9.329777259920737,7.943277927125868,5.7376186952071935,0.08497940335541986,0.019941470015821822,0.006978987948701735,743,350,83
48,1080,2022-01-02 01:00:00,2022-02-16 01:00:00,9.33444419739363,7.934205854345692,5.599464516279913,0.08497940335541986,0.019961595088708803,0.006861737416361679,743,346,77
72,1080,2022-01-03 01:00:00,2022-02-17 01:00:00,9.335100945235641,7.945626590893184,5.493576815803343,0.08497940335541986,0.019623051297097693,0.006706459876371477,743,345,72
96,1080,2022-01-04 01:00:00,2022-02-18 01:00:00,9.341101624550948,7.965016441337667,5.523826006455445,0.08497940335541986,0.019226086955204648,0.0067810275369486325,743,346,72
120,1080,2022-01-05 01:00:00,2022-02-19 01:00:00,9.3419145861874,7.997736307322398,5.688523943966962,0.08497940335541986,0.01967228323052234,0.006619204324734253,743,352,77
144,1080,2022-01-06 01:00:00,2022-02-20 01:00:00,9.3443037494754,8.023876424653418,5.8597477594475915,0.08497940335541986,0.017008157397571264,0.004883987368727936,743,360,83
168,1080,2022-01-07 01:00:00,2022-02-21 01:00:00,9.345640779595225,8.060383929671525,5.604451900599151,0.08497940335541986,0.017246326349164457,0.00480239013340595,743,368,77
192,1080,2022-01-08 01:00:00,2022-02-22 01:00:00,9.343495017157002,8.102322761450601,5.602572890951061,0.08497940335541986,0.01703639443415017,0.004988174606126235,743,375,78
216,1080,2022-01-09 01:00:00,2022-02-23 01:00:00,9.344649333268213,8.071681571009591,5.662847281808234,0.08497940335541986,0.01732315516531507,0.004409776325657108,743,373,77
240,1080,2022-01-10 01:00:00,2022-02-24 01:00:00,9.345360220684995,8.05981352710004,5.642342909913823,0.08497940335541986,0.01826818274607127,0.005049182362614765,743,373,77
264,1080,2022-01-11 01:00:00,2022-02-25 01:00:00,9.339150439455468,8.04325074398691,5.66655262239013,0.09308040632188126,0.017598431623672285,0.004847438260160075,743,368,79
288,1080,2022-01-12 01:00:00,2022-02-26 01:00:00,9.339377102755734,8.018981880922308,5.841862854299269,0.09308040632188126,0.016507269559709034,0.00420967641636535,743,362,86
312,1080,2022-01-13 01:00:00,2022-02-27 01:00:00,9.333563153524516,8.009782801774884,5.89466940305563,0.09308040632188126,0.017380779963749406,0.0035863340110705356,743,364,92
336,1080,2022-01-14 01:00:00,2022-02-28 01:00:00,9.334466427639075,7.973833819388945,5.759568006917826,0.09308040632188126,0.019047587546843728,0.006549939350153547,743,366,86
360,1080,2022-01-15 01:00:00,2022-03-01 01:00:00,9.342554929210282,8.002310330585763,5.852474872879113,0.09308040632188126,0.016967246603112184,0.006828822169650971,743,365,95
384,1080,2022-01-16 01:00:00,2022-03-02 01:00:00,9.344649361958858,7.972651905560073,5.846785271141921,0.09308040632188126,0.01682371730505919,0.007194725822413211,743,359,92
408,1080,2022-01-17 01:00:00,2022-03-03 01:00:00,9.342918993252816,7.94428488739542,5.609193992764142,0.09308040632188126,0.01703601629914992,0.007001464888972154,743,362,82
432,1080,2022-01-18 01:00:00,2022-03-04 01:00:00,9.33522822837812,7.9644284903061795,5.6309012454718435,0.09308040632188126,0.017121319697635362,0.006857600166171905,743,360,83
456,1080,2022-01-19 01:00:00,2022-03-05 01:00:00,9.335677217358276,8.03559064155962,5.77217591051068,0.06695569791057959,0.016478043350613755,0.007098926938636747,743,372,88
480,1080,2022-01-20 01:00:00,2022-03-06 01:00:00,9.335729094883302,8.03909291049204,5.683865119604152,0.06695569791057959,0.01644968333953504,0.007173998734358249,743,367,86
504,1080,2022-01-21 01:00:00,2022-03-07 01:00:00,9.339978874996461,8.062758079910154,5.77156671494667,0.06695569791057959,0.016974989572777856,0.007674775618605202,743,375,89
528,1080,2022-01-22 01:00:00,2022-03-08 01:00:00,9.34921278372983,8.008438414243134,5.845486313665883,0.06601340628432313,0.01654292360791205,0.007485891048819363,743,367,88
552,1080,2022-01-23 01:00:00,2022-03-09 01:00:00,9.346803559167306,7.984348899017449,5.812195322428038,0.08387094360063997,0.016463357665183368,0.007304116997753656,743,363,89
